 # Band        Convention           Nu_c (GHz)      a2t [K_cmb/K_RJ]      t2f [MJy/K_cmb]   co2t [uK_cmb / (K km/s)]   a2sz [y_sz/K_RJ]
030            LFI                      28.400      0.10212301E+01      0.23509794E+02      0.00000000E+00     -0.19135754E+00
044            LFI                      44.100      0.10514797E+01      0.55734827E+02      0.00000000E+00     -0.20303385E+00
070            LFI                      70.300      0.11357154E+01      0.12936756E+03      0.00000000E+00     -0.23823637E+00
100-1a         HFI_cmb                 100.000      0.13000563E+01      0.23830519E+03      0.11060000E+02     -0.31998334E+00
100-1b         HFI_cmb                 100.000      0.13038289E+01      0.24186683E+03      0.11060000E+02     -0.32209447E+00
100-2a         HFI_cmb                 100.000      0.13095004E+01      0.24424910E+03      0.11060000E+02     -0.32514782E+00
100-2b         HFI_cmb                 100.000      0.13081143E+01      0.24336718E+03      0.11060000E+02     -0.32439746E+00
100-3a         HFI_cmb                 100.000      0.13111472E+01      0.24606475E+03      0.11060000E+02     -0.32611616E+00
100-3b         HFI_cmb                 100.000      0.13034847E+01      0.24017341E+03      0.11060000E+02     -0.32183114E+00
100-4a         HFI_cmb                 100.000      0.13126852E+01      0.24676148E+03      0.11060000E+02     -0.32694444E+00
100-4b         HFI_cmb                 100.000      0.13133229E+01      0.24763117E+03      0.11060000E+02     -0.32733182E+00
143            HFI_cmb                 143.000      0.16804396E+01      0.37197813E+03      0.00000000E+00     -0.60398666E+00
217-1          HFI_cmb                 217.000      0.32224711E+01      0.48602366E+03      0.14010000E+02      0.14005649E+02
217-2          HFI_cmb                 217.000      0.32378226E+01      0.48639259E+03      0.14010000E+02      0.13037483E+02
217-3          HFI_cmb                 217.000      0.32296465E+01      0.48688564E+03      0.14010000E+02      0.13295892E+02
217-4          HFI_cmb                 217.000      0.32182954E+01      0.48600777E+03      0.14010000E+02      0.14265820E+02
217-5a         HFI_cmb                 217.000      0.31600408E+01      0.47979876E+03      0.14010000E+02      0.23638761E+02
217-5b         HFI_cmb                 217.000      0.31658762E+01      0.48042983E+03      0.14010000E+02      0.22075829E+02
217-6          HFI_cmb                 217.000      0.31648263E+01      0.48033783E+03      0.14010000E+02      0.22259207E+02
217-7a         HFI_cmb                 217.000      0.31667426E+01      0.48104345E+03      0.14010000E+02      0.21513280E+02
217-7b         HFI_cmb                 217.000      0.31549308E+01      0.47999623E+03      0.14010000E+02      0.24271133E+02
217-8          HFI_cmb                 217.000      0.31647973E+01      0.48024508E+03      0.14010000E+02      0.22363606E+02
353-1          HFI_cmb                 353.000      0.14112779E+02      0.28841053E+03      0.12240000E+02      0.22903858E+01
353-2          HFI_cmb                 353.000      0.14208229E+02      0.28786213E+03      0.12240000E+02      0.23013764E+01
353-3          HFI_cmb                 353.000      0.13996477E+02      0.28921513E+03      0.12240000E+02      0.22755469E+01
353-4          HFI_cmb                 353.000      0.14432800E+02      0.28659656E+03      0.12240000E+02      0.22969043E+01
353-5          HFI_cmb                 353.000      0.13864070E+02      0.28993072E+03      0.12240000E+02      0.22830448E+01
353-6          HFI_cmb                 353.000      0.13745172E+02      0.29073005E+03      0.12240000E+02      0.22635304E+01
353-7          HFI_cmb                 353.000      0.14632712E+02      0.28533240E+03      0.12240000E+02      0.23143036E+01
353-8          HFI_cmb                 353.000      0.14940518E+02      0.28350461E+03      0.12240000E+02      0.23469227E+01
545-1          HFI_cmb                 545.000      0.17320510E+03      0.57080822E+02      0.00000000E+00      0.11917366E+02
545-2          HFI_cmb                 545.000      0.16453932E+03      0.58879697E+02      0.00000000E+00      0.11456796E+02
545-4          HFI_cmb                 545.000      0.16759491E+03      0.58056477E+02      0.00000000E+00      0.11571842E+02
857-1          HFI_cmb                 857.000      0.10633528E+05      0.21889596E+01      0.00000000E+00      0.40241460E+03
857-2          HFI_cmb                 857.000      0.97364702E+04      0.23454801E+01      0.00000000E+00      0.37154541E+03
857-3          HFI_cmb                 857.000      0.10476118E+05      0.22132081E+01      0.00000000E+00      0.39647959E+03
857-4          HFI_cmb                 857.000      0.93158450E+04      0.24022212E+01      0.00000000E+00      0.35565772E+03
0.4-Haslam     delta                     0.408      0.10000043E+01      0.51143535E-02      0.00000000E+00     -0.18345416E+00
022-WMAP_K     WMAP                     22.800      0.10134381E+01      0.14984556E+02      0.00000000E+00     -0.18842930E+00
030-WMAP_Ka    WMAP                     33.000      0.10284117E+01      0.31556107E+02      0.00000000E+00     -0.19408567E+00
040-WMAP_Q1    WMAP                     40.600      0.10437400E+01      0.47879887E+02      0.00000000E+00     -0.19999938E+00
040-WMAP_Q2    WMAP                     40.600      0.10432578E+01      0.47179375E+02      0.00000000E+00     -0.19981157E+00
060-WMAP_V1    WMAP                     60.800      0.10973503E+01      0.97342545E+02      0.00000000E+00     -0.22169771E+00
060-WMAP_V2    WMAP                     60.800      0.11006073E+01      0.10187031E+03      0.00000000E+00     -0.22307092E+00
090-WMAP_W1    WMAP                     93.500      0.12472922E+01      0.20961241E+03      0.10000000E+01     -0.29180494E+00
090-WMAP_W2    WMAP                     93.500      0.12499995E+01      0.21365127E+03      0.10000000E+01     -0.29325055E+00
090-WMAP_W3    WMAP                     93.500      0.12439614E+01      0.20788015E+03      0.10000000E+01     -0.29012359E+00
090-WMAP_W4    WMAP                     93.500      0.12488078E+01      0.21178077E+03      0.10000000E+01     -0.29261104E+00
