 # Band        Convention           Nu_c (GHz)      a2t [K_cmb/K_RJ]      t2f [MJy/K_cmb]   co2t [uK_cmb / (K km/s)]   a2sz [y_sz/K_RJ]
0.4-Haslam     delta                     0.408      0.10000043E+01      0.51143535E-02      0.00000000E+00     -0.18345416E+00
022-WMAP_K     WMAP                     22.800      0.10136837E+01      0.15403493E+02      0.00000000E+00     -0.18852114E+00
030            LFI                      28.400      0.10212760E+01      0.23586791E+02      0.00000000E+00     -0.19137490E+00
030-WMAP_Ka    WMAP                     33.000      0.10270760E+01      0.29377337E+02      0.00000000E+00     -0.19357626E+00
040-WMAP_Q1    WMAP                     40.600      0.10410268E+01      0.43595977E+02      0.00000000E+00     -0.19894326E+00
040-WMAP_Q2    WMAP                     40.600      0.10411114E+01      0.43795202E+02      0.00000000E+00     -0.19897631E+00
044            LFI                      44.100      0.10487418E+01      0.51489222E+02      0.00000000E+00     -0.20195652E+00
060-WMAP_V1    WMAP                     60.800      0.10973503E+01      0.97342545E+02      0.00000000E+00     -0.22169771E+00
060-WMAP_V2    WMAP                     60.800      0.11006073E+01      0.10187031E+03      0.00000000E+00     -0.22307092E+00
070            LFI                      70.300      0.11397126E+01      0.13454523E+03      0.00000000E+00     -0.24001339E+00
090-WMAP_W1    WMAP                     93.500      0.12338277E+01      0.19585857E+03      0.10000000E+01     -0.28487905E+00
090-WMAP_W2    WMAP                     93.500      0.12390773E+01      0.20248925E+03      0.10000000E+01     -0.28759795E+00
090-WMAP_W3    WMAP                     93.500      0.12325098E+01      0.19616542E+03      0.10000000E+01     -0.28424971E+00
090-WMAP_W4    WMAP                     93.500      0.12358236E+01      0.19851382E+03      0.10000000E+01     -0.28591400E+00
100-1b         HFI_cmb                 100.000      0.13003681E+01      0.23863000E+03      0.11060000E+02     -0.32015445E+00
100-4a         HFI_cmb                 100.000      0.12985892E+01      0.23361054E+03      0.11060000E+02     -0.31901217E+00
100-3b         HFI_cmb                 100.000      0.12990643E+01      0.23603875E+03      0.11060000E+02     -0.31935752E+00
100-3a         HFI_cmb                 100.000      0.13000377E+01      0.23569930E+03      0.11060000E+02     -0.31986284E+00
100-2b         HFI_cmb                 100.000      0.13003028E+01      0.23607341E+03      0.11060000E+02     -0.32000927E+00
100-2a         HFI_cmb                 100.000      0.12954348E+01      0.23110483E+03      0.11060000E+02     -0.31726782E+00
100-1a         HFI_cmb                 100.000      0.13000563E+01      0.23830519E+03      0.11060000E+02     -0.31998334E+00
100-4b         HFI_cmb                 100.000      0.13041589E+01      0.23909358E+03      0.11060000E+02     -0.32215101E+00
143            HFI_cmb                 143.000      0.16849352E+01      0.37414116E+03      0.00000000E+00     -0.60847635E+00
217-8          HFI_cmb                 217.000      0.31652779E+01      0.48028124E+03      0.14010000E+02      0.22260236E+02
217-7b         HFI_cmb                 217.000      0.31613178E+01      0.48047865E+03      0.14010000E+02      0.22738177E+02
217-7a         HFI_cmb                 217.000      0.31620509E+01      0.48069144E+03      0.14010000E+02      0.22494591E+02
217-6          HFI_cmb                 217.000      0.31826930E+01      0.48166979E+03      0.14010000E+02      0.19019949E+02
217-5b         HFI_cmb                 217.000      0.31774946E+01      0.48129776E+03      0.14010000E+02      0.19886804E+02
217-3          HFI_cmb                 217.000      0.32421228E+01      0.48775320E+03      0.14010000E+02      0.12464356E+02
217-2          HFI_cmb                 217.000      0.32279695E+01      0.48570146E+03      0.14010000E+02      0.13750427E+02
217-5a         HFI_cmb                 217.000      0.31692697E+01      0.48049366E+03      0.14010000E+02      0.21601472E+02
353-2          HFI_cmb                 353.000      0.14123441E+02      0.28837133E+03      0.12240000E+02      0.22962285E+01
353-6          HFI_cmb                 353.000      0.13737004E+02      0.29078010E+03      0.12240000E+02      0.22630421E+01
353-5          HFI_cmb                 353.000      0.13838037E+02      0.29008843E+03      0.12240000E+02      0.22814850E+01
353-4          HFI_cmb                 353.000      0.14453670E+02      0.28647107E+03      0.12240000E+02      0.22981873E+01
353-3          HFI_cmb                 353.000      0.13995053E+02      0.28922380E+03      0.12240000E+02      0.22754608E+01
353-1          HFI_cmb                 353.000      0.14106244E+02      0.28844994E+03      0.12240000E+02      0.22899893E+01
545-2          HFI_cmb                 545.000      0.16552886E+03      0.58668162E+02      0.00000000E+00      0.11509359E+02
545-1          HFI_cmb                 545.000      0.17217057E+03      0.57287522E+02      0.00000000E+00      0.11862781E+02
545-4          HFI_cmb                 545.000      0.16759491E+03      0.58056477E+02      0.00000000E+00      0.11571842E+02
857-2          HFI_cmb                 857.000      0.97364702E+04      0.23454801E+01      0.00000000E+00      0.37154541E+03
857-1          HFI_cmb                 857.000      0.10633528E+05      0.21889596E+01      0.00000000E+00      0.40241460E+03
857-3          HFI_cmb                 857.000      0.10476118E+05      0.22132081E+01      0.00000000E+00      0.39647959E+03
